Tick,Step,DateTime,MaxTripDistance,X,Y,ID
0,0,2022-03-01T05:00:00.0000000,0,60,48,c3f183c2-506f-44a3-852d-ca5dfde2c0a2
0,0,2022-03-01T05:00:00.0000000,0,3,66,6c4f6973-5403-4748-b22f-1191b5ccbe78
0,0,2022-03-01T05:00:00.0000000,0,104,25,baf3a166-e963-4aad-82d0-01ce66cb3bf4
1,1,2022-03-01T05:00:01.0000000,0,60,48,c3f183c2-506f-44a3-852d-ca5dfde2c0a2
1,1,2022-03-01T05:00:01.0000000,0,3,66,6c4f6973-5403-4748-b22f-1191b5ccbe78
1,1,2022-03-01T05:00:01.0000000,0,104,25,baf3a166-e963-4aad-82d0-01ce66cb3bf4
2,2,2022-03-01T05:00:02.0000000,0,4,66,6c4f6973-5403-4748-b22f-1191b5ccbe78
2,2,2022-03-01T05:00:02.0000000,0,104,25,baf3a166-e963-4aad-82d0-01ce66cb3bf4
3,3,2022-03-01T05:00:03.0000000,0,104,25,baf3a166-e963-4aad-82d0-01ce66cb3bf4
4,4,2022-03-01T05:00:04.0000000,0,104,25,baf3a166-e963-4aad-82d0-01ce66cb3bf4
5,5,2022-03-01T05:00:05.0000000,0,104,25,baf3a166-e963-4aad-82d0-01ce66cb3bf4
6,6,2022-03-01T05:00:06.0000000,0,104,25,baf3a166-e963-4aad-82d0-01ce66cb3bf4
