Tick,Step,DateTime,LocX,LocY,X,Y,ID
0,0,2023-10-20T19:32:34.9059220+02:00,61,7,61,7,1c98c435-f0fb-4a5b-91a2-a6e116c321df
0,0,2023-10-20T19:32:34.9059220+02:00,30,61,30,61,e41035ea-1c7d-42c7-8694-2d069c8cff82
0,0,2023-10-20T19:32:34.9059220+02:00,115,61,115,61,a2f4ea19-6d4f-4094-9618-e4acfcc358c1
0,0,2023-10-20T19:32:34.9059220+02:00,77,77,77,77,bb77ddd2-6114-42fb-aa88-fe427aa04d57
0,0,2023-10-20T19:32:34.9059220+02:00,45,61,45,61,58c5eb4a-9c39-4e3a-95b7-ee0139ed1a5f
0,0,2023-10-20T19:32:34.9059220+02:00,77,61,77,61,936dbb6c-7c23-44ca-9213-d40b424c5035
0,0,2023-10-20T19:32:34.9059220+02:00,67,22,67,22,f9a8cee7-5102-4990-ba77-77f905d3a882
0,0,2023-10-20T19:32:34.9059220+02:00,115,77,115,77,ad52f092-093d-49fb-98df-24a800e7700c
0,0,2023-10-20T19:32:34.9059220+02:00,67,38,67,38,d23d465e-9b9e-4e34-b701-f10966add3e0
0,0,2023-10-20T19:32:34.9059220+02:00,90,77,90,77,e15f86a3-3565-4e03-9840-6db09332f5c4
0,0,2023-10-20T19:32:34.9059220+02:00,76,7,76,7,144c9e7c-9786-485b-a116-858528a7a653
0,0,2023-10-20T19:32:34.9059220+02:00,12,77,12,77,5044bdfb-0f16-4c17-8c9a-d69739ec70c9
0,0,2023-10-20T19:32:34.9059220+02:00,30,48,30,48,0448f75a-32d5-4279-ab98-cdc5b8e381a4
0,0,2023-10-20T19:32:34.9059220+02:00,90,48,90,48,ea9ff789-5a42-4426-959d-278ea7d48619
0,0,2023-10-20T19:32:34.9059220+02:00,81,17,81,17,d848efc0-dcce-4677-9fa4-4e04a8823b30
0,0,2023-10-20T19:32:34.9059220+02:00,68,75,68,75,1f26d31a-394e-4063-a932-6241f77a392d
0,0,2023-10-20T19:32:34.9059220+02:00,30,77,30,77,5e07b488-b7e4-4391-8139-acc0c766f110
0,0,2023-10-20T19:32:34.9059220+02:00,12,61,12,61,d02ff138-07ad-4670-aeaa-69c3585f77a4
0,0,2023-10-20T19:32:34.9059220+02:00,90,61,90,61,d002a46e-4e0c-4067-9ebc-e084a1bc4fe6
0,0,2023-10-20T19:32:34.9059220+02:00,91,7,91,7,2edab9b6-ec83-49f2-b33c-5d7db0cb0844
0,0,2023-10-20T19:32:34.9059220+02:00,61,48,61,48,d9a56b6e-b177-4e1b-b6ec-0a3925c0a7c8
0,0,2023-10-20T19:32:34.9059220+02:00,45,77,45,77,121f44fd-2b12-4859-bdff-69d5e1d479b3
1,1,2023-10-20T19:32:35.9059220+02:00,61,7,61,7,1c98c435-f0fb-4a5b-91a2-a6e116c321df
1,1,2023-10-20T19:32:35.9059220+02:00,30,61,30,61,e41035ea-1c7d-42c7-8694-2d069c8cff82
1,1,2023-10-20T19:32:35.9059220+02:00,115,61,115,61,a2f4ea19-6d4f-4094-9618-e4acfcc358c1
1,1,2023-10-20T19:32:35.9059220+02:00,77,77,77,77,bb77ddd2-6114-42fb-aa88-fe427aa04d57
1,1,2023-10-20T19:32:35.9059220+02:00,45,61,45,61,58c5eb4a-9c39-4e3a-95b7-ee0139ed1a5f
1,1,2023-10-20T19:32:35.9059220+02:00,77,61,77,61,936dbb6c-7c23-44ca-9213-d40b424c5035
