Evacuee Type, ID, Exit Location, tick, Risk level, Mobility, Forgot Item, Found distressed agent, In Group
EvacueeType6, c15b8be6-52b3-4a25-8c74-108bec5413f8, (58, 75), 0, 1, False, False, True
EvacueeType6, 052fb43e-452a-4565-a0a6-6aae9220f851, (56, 75), 4, 1, False, False, False
EvacueeType5, 54e1c8be-402e-40b2-9e06-17c123d288c7, (58, 75), 3, 1, False, False, False
EvacueeType11, 802444da-ac70-46e2-b2f0-5e9b1c4f766d, (58, 75), 6, 1, False, False, True
EvacueeType6, f63a7e86-769e-492c-8ee9-2eb89a9e30c0, (56, 75), 5, 1, False, False, False
EvacueeType6, dfe0524a-5e2f-456c-aea7-2dea6f3c66ce, (56, 75), 3, 1, False, False, False
EvacueeType10, db8a04c5-dac6-4e7b-817f-d58ae4a61d38, (58, 75), 6, 1, False, False, False
EvacueeType18, 19aa7f20-1852-4c74-8e63-ea4f485e8c70, (58, 75), 14, 1, False, False, False
EvacueeType11, f552971d-4a76-448a-b807-df1c4332e735, (74, 29), 10, 1, False, False, False
EvacueeType1, 2707e6ee-190d-4947-a848-130607044436, (58, 75), 3, 2, False, False, False
EvacueeType10, 69288d15-21e8-4cec-8a8f-b068fd5e7f66, (58, 75), 10, 1, False, False, False
EvacueeType4, 22b613b2-752f-4d0f-aff8-8c7190f052d4, (56, 75), 1, 1, False, True, True
EvacueeType5, 4606201e-c940-44a0-a376-c1edd954d99a, (74, 30), 0, 1, False, False, False
EvacueeType6, b6d349f8-1f6b-4c37-a7e0-11d52d4ff49a, (74, 30), 1, 1, False, False, True
EvacueeType4, a02ecab5-0271-43f6-810d-dfdf1a3a5d16, (58, 75), 4, 1, False, False, True
EvacueeType4, 51b47b0e-a7cb-4d64-8c5f-3c6091b75117, (56, 75), 3, 1, False, False, True
EvacueeType5, 7c5d8db5-9528-4ff5-ba8b-fa4454727f62, (74, 30), 0, 1, False, False, True
EvacueeType8, d20e77eb-c9f7-4343-bb0e-cf13f5281ff7, (58, 75), 8, 2, False, False, True
EvacueeType2, c2949ca9-073c-403c-a176-1c23712635cd, (58, 75), 3, 2, False, False, False
EvacueeType4, a8dcbde9-3ead-4557-b759-3acec23a5600, (74, 30), 2, 1, True, False, True
EvacueeType7, 42513e75-c979-4348-810a-1964f3ae8bb5, (58, 75), 6, 2, False, False, True
EvacueeType16, 9b041f44-8af0-4dd5-add1-1b3c733c0e68, (74, 30), 10, 1, False, False, False
EvacueeType5, 7f701391-56b4-4923-bb38-c8bc879abf55, (74, 30), 0, 1, False, False, True
EvacueeType11, 8b2a8565-ae04-441a-a580-d85dac77071b, (58, 75), 9, 1, False, False, True
EvacueeType9, 9b5a6fea-a92e-4644-ba99-5bd1be8c36b2, (56, 75), 6, 2, False, False, False
EvacueeType4, d4717a0d-e16d-4a3c-b3fa-35edd1bf16b7, (74, 30), 4, 1, False, False, True
EvacueeType17, c7b7ecff-f70e-46d1-8b84-7f6f89bd8af2, (58, 75), 14, 1, True, False, True
EvacueeType5, 7e337f4c-cd06-4b3b-9e86-745153f22044, (56, 75), 1, 1, False, False, False
EvacueeType14, bbca751e-d620-44fa-900b-2bdc2a861e77, (58, 75), 11, 2, False, False, False
EvacueeType7, 0224aa6b-379c-466b-b56d-91732cc014ef, (74, 29), 9, 2, False, False, False
EvacueeType13, 991635f6-b880-4e02-8586-5cdfa06bbb2d, (58, 75), 14, 2, False, False, True
EvacueeType9, c391e301-b34b-4e8c-a697-f053c3169882, (58, 75), 8, 2, False, False, True
EvacueeType10, 1d5b2623-14d7-4873-87f3-9a0313febe88, (74, 29), 10, 1, False, False, True
EvacueeType18, 85874e45-eda7-48cd-a750-916c8f42f0fd, (74, 30), 12, 1, False, False, True
EvacueeType11, 360dceab-5971-4fab-b9d5-b14725424285, (74, 30), 7, 1, False, False, False
EvacueeType18, 3100e193-53fa-4177-b65c-42e32544f486, (56, 75), 15, 1, False, False, False
EvacueeType5, 9a9313c5-a568-4faa-b962-6a401f788d5e, (74, 29), 1, 1, True, False, True
EvacueeType17, 58e122e2-ea0b-41e5-bf05-acff2352f453, (74, 30), 13, 1, True, False, True
EvacueeType2, 839ff034-86ee-454b-a446-6c4289678f52, (58, 75), 1, 2, False, False, False
EvacueeType18, d6bfbe27-2abc-4cda-abab-afe5654a4b61, (74, 30), 15, 1, False, False, True
EvacueeType11, f8f78ce5-3331-4764-a019-70febd611513, (58, 75), 8, 1, False, False, True
EvacueeType8, 1e64eff2-81c7-439e-9ce2-837f948bf4c8, (56, 75), 8, 2, False, False, False
EvacueeType2, d30fefac-34ec-40fd-ae74-041304b897ab, (74, 30), 0, 2, False, False, True
EvacueeType17, e649bea3-b6ba-4250-8588-65642d9a02a2, (74, 30), 13, 1, True, False, True
EvacueeType17, 4c95211d-883b-4cd9-b8fc-dc912a71e752, (58, 75), 11, 1, F
